family,quant,repos,downloads
llama,q8,76,3524
llava,none,1,4
llm,none,1,1
loxa,q2,2,345
lucie,none,2,5
lucie,q2,2,404
luna,none,1,7
luna,q6,1,57
magistral,bf16,1,1516
magistral,none,2,366
magistral,q2,3,2960
magistral,q6,1,57
magnum,none,1,7
marco,none,3,20
marco,q2,6,1026
marco,q4,5,17
marco,q5,4,12
marco,q6,2,11
marco,q8,4,21
mdeberta,none,2,348
medgpt,q2,2,325
medguide,q2,2,395
medra4b,q2,3,578
medra4b,q8,1,107
medran,bf16,1,13
medran,none,1,200
medran,q2,3,1191
medraq,q2,2,240
megatron,none,1,3
megatron,q2,2,564
megrez,none,3,27
megrez,q2,2,204
memgpt,q2,2,548
merged,q5,1,10
mfannv0.22.1'],none,1,11
mfannv0.25'],none,1,9
mimo,none,2,4
mindlink,q2,2,21798
minimedra,q2,2,223
ministral,q2,2,420
mistral,bf16,2,833
mistral,fp32,1,3
mistral,none,40,43384
mistral,q2,43,20694
mistral,q3,8,70
mistral,q4,23,1136
mistral,q5,10,137
mistral,q6,8,362
mistral,q8,8,180
mixtral,none,1,2
model,bf16,6,4552
model,fp32,1,7
model,none,269,4231
model,q2,27,1135
model,q3,6,0
model,q4,8,194
model,q5,3,0
model,q6,3,0
model,q8,5,49
monah,none,4,23
monah,q2,2,214
monah,q4,1,47
moonlight,none,2,16
motherearth,q2,3,791
motherearth,q4,2,8
mrroboto,none,1,3
mt5,none,1,3
nemo,q2,2,603
nemotron,none,2,49
nemotron,q2,2,267
nemotron,q4,2,46
nemotron,q5,2,337
nemotron,q6,1,19
nemotron,q8,1,21
neuraldaredevil,none,7,93
neuraldaredevil,q2,12,9544
neuraldaredevil,q3,1,11
neuraldaredevil,q4,12,205
neuraldaredevil,q8,1,9
neuraldarkdevil,q2,2,83
nexus,none,1,8
nexus,q2,2,457
nexus,q8,1,76
none,bf16,29,4746
none,fp16,29,5438
none,fp32,21,8672
none,fp8,3,70
none,int4,9,51
none,int8,1,2
none,nf4,2,5
none,none,1326,258437
none,q2,209,55997
none,q3,29,1038
none,q4,92,55238
none,q5,18,809
none,q6,10,794
none,q8,31,1770
nord,q2,2,506
noromaid,none,1,0
nvila,none,1,24
nyx,q2,2,270
opencoder,none,1,7
opencoder,q2,2,709
opencoder,q4,1,3
openhands,none,1,5
openhands,q2,2,287
openhands,q3,3,7
openhands,q4,2,11
openhands,q5,2,2
openhands,q6,1,16
openhands,q8,1,5
openhermes,none,1,11
openthinker,none,3,12
openthinker,q2,7,1475
openthinker,q3,3,3
openthinker,q4,4,17
openthinker,q5,4,16
openthinker,q6,2,5
openthinker,q8,2,10
openthinker2,none,2,3
openthinker2,q2,3,635
orca,none,3,13
orca,q2,3,642
original,none,19,62
pankajmathur,none,1,6
peach,fp16,1,68
peach,int4,1,3
peach,int8,1,2
peach,none,9,55
peach,q2,5,2334
peach,q4,4,166
peach,q5,1,18
peach,q8,2,13
phi,bf16,2,1149
phi,fp16,4,944
phi,fp8,1,18
phi,int4,2,3
phi,int8,2,4
phi,none,84,9419
phi,q2,41,19343
phi,q3,3,39
phi,q4,30,1790
phi,q5,17,122
phi,q6,8,83
phi,q8,9,119
pixtral,none,1,16
procyon,q2,2,133
prompt,none,1,4
pythia,none,7,251
q2.5,q2,1,2
q3,q2,1,47
qrwkv6,none,1,4
qrwkv6,q2,2,301
qvq,fp16,1,84
qvq,int4,1,7
qvq,int8,1,3
qvq,none,2,18
qvq,q2,1,311
qwen,bf16,33,43190
qwen,fp16,29,3558
qwen,fp32,4,182
qwen,int4,2,0
qwen,int8,3,45
qwen,nf4,2,264
qwen,none,529,115356
qwen,q2,510,401906
qwen,q3,37,4989
qwen,q4,226,12121
qwen,q5,138,2519
qwen,q6,92,3291
qwen,q8,127,6413
qwq,bf16,4,1334
qwq,int4,2,1149
qwq,none,42,2698
qwq,q2,25,10847
qwq,q3,4,49
qwq,q4,6,75
qwq,q5,4,48
qwq,q6,1,26
qwq,q8,6,51
reka,q2,1,6959
reverb,none,1,3
reverb,q2,2,222
roleplai,q2,2,110
roleplay,q2,4,5742
roleplaylake,none,1,26
roleplaylake,q2,5,886
roleplaylake,q4,1,4
roleplaylake,q5,1,9
roleplaylake,q6,2,83
roleplayv2e6,q2,1,46
roleplayv2e6,q8,2,12
rombo,q2,2,3420
rombo,q3,1,1
rombo,q4,1,2
rombo,q5,1,4
s1,none,1,4
s1,q2,3,728
s1.1,none,1,3
s1.1,q2,3,276
s1.1,q3,3,24
s1.1,q4,3,15
s1.1,q5,2,13
s1.1,q6,1,8
s1.1,q8,2,15
sailor2,none,1,6
sailor2,q2,3,551
samantha,q2,4,458
scifi,q2,2,678
seallms,none,4,44
seallms,q2,6,1260
seed,none,2,12
seed,q2,3,2830
sentence,none,1,2
sex,fp16,1,159
sex,int4,1,39
sex,int8,2,261
sex,none,4,274
sex,q2,2,8637
sexygpt,none,1,25
sexygpt,q2,4,2250
sexygpt,q4,1,376
sigil,q2,1,82
sky,none,3,11
sky,q2,6,20218
sky,q3,3,14
sky,q4,4,13
sky,q5,2,7
sky,q6,1,6
sky,q8,1,3
smallthinker,none,1,54
smallthinker,q2,3,237
smallthinker,q3,1,119
smollm,none,1,24
smollm,q2,1,133
smollm,q8,1,15
smollm2,none,5,133
smollm2,q2,5,1541
smollm2,q4,5,19
smollm2,q5,4,21
smollm2,q6,3,9
smollm2,q8,3,14
smollm3,bf16,1,59
smollm3,none,1,5
smollumi,q4,1,24
solar,none,7,73
solar,q2,9,10380
stablelm,none,2,13
stablelm,q2,3,1398
storytime,none,1,4
swallowmaid,q2,3,839
